model,year,line,pax,coches_km,C,eps_Y1,eps_Y2,RTD,RTS,AC,MC,MC_over_AC,s_L_obs,s_L_pred,s_E_pred
M-FU,2023,L5,107913473,22730493,106261936.76436482,0.509754304564427,0.19278662644504801,1.9617293881499955,1.423404610124436,0.984695736410641,0.5019528903215627,0.509754304564427,0.5205728050122206,0.38443795035076467,0.05164524124009467
M-FU,2023,L9/L10 Nord,11039400,6078367,85741881.75788912,0.4617099135302204,0.24083101747925478,2.1658620936986805,1.4234046101244355,7.766896910872794,3.5860533011172135,0.4617099135302204,0.172521915518648,0.4492528875352348,0.0156569386761486
M-FU,2023,L9/L10 Sud,15724587,7827117,117073136.14656296,0.46675475104044967,0.23578617996902554,2.1424527501238835,1.4234046101244355,7.44522804615237,3.4750955631212235,0.4667547510404497,0.1627027546403498,0.4401598555954498,0.02172306810979603
M-FU,2024,L1,125065070,24911058,118652309.584425,0.5094340597378666,0.18905973954716074,1.9629625873750138,1.431651935956471,0.9487246085931508,0.48331262892882726,0.5094340597378666,0.529328821091821,0.3854192258562146,0.05064036309897317
M-FU,2024,L2,48773807,8569718,41482096.96860986,0.5157058719786909,0.18278792730633645,1.9390898074577678,1.431651935956471,0.8504994692870675,0.43860757042610105,0.515705871978691,0.5208532652063168,0.40174331565787624,0.030553185952816874
M-FU,2024,L3,88863235,15647912,75064701.69273755,0.5155959908083513,0.18289780847667603,1.939503056321676,1.431651935956471,0.844721686001388,0.4355351146511866,0.5155959908083513,0.5255695676170767,0.3897891666166414,0.04257326369625547
M-FU,2024,L4,61610767,11317261,54781700.57686645,0.5134833192772758,0.18501048000775155,1.9474829316899587,1.431651935956471,0.8891579060664259,0.4565677529686205,0.5134833192772758,0.5208532652063169,0.3979594723930758,0.03567056083846643
M-FU,2024,L5,111607243,22873297,108741029.7778666,0.5080087315470807,0.19048506773794663,1.9684701027768123,1.431651935956471,0.9743187525729544,0.49496243361712056,0.5080087315470807,0.5303284048257658,0.3882663213841899,0.048648464485469334
M-FU,2024,L9/L10 Nord,12216801,6116554,88136866.21611632,0.463348601751664,0.23514519753336344,2.1582022611475566,1.4316519359564708,7.214398124035607,3.3427812832517256,0.4633486017516639,0.17496807105189563,0.45037384957762805,0.013337014169281295
M-FU,2024,L9/L10 Sud,18038059,7876290,123479448.72543643,0.47018928587763226,0.2283045134073952,2.1268030345128963,1.4316519359564708,6.845495334361443,3.21867856274207,0.4701892858776322,0.16081872062271207,0.4398441403452518,0.01976231292607653
M-FU,2025,L1,126387074,24886457,111816148.1659546,0.5109521543333282,0.1880131153721694,1.9571304113684846,1.43068624914846,0.8847118983540564,0.4520454504283336,0.5109521543333282,0.5525719564905245,0.3826373275005856,0.050939436057775705
M-FU,2025,L2,52732320,8561255,39095987.06509802,0.5205999701428019,0.17836529956269562,1.9208606556886614,1.43068624914846,0.7414046464312213,0.38597523679582835,0.5205999701428018,0.5436702159438541,0.39626061444732774,0.0315274596253493
M-FU,2025,L3,89346904,15632460,70742960.92497288,0.5168597372217617,0.18210553248373584,1.93476087995406,1.43068624914846,0.7917785368922562,0.40923844651596253,0.5168597372217617,0.5486234545125356,0.3872107468066534,0.04282146701864777
M-FU,2025,L4,55430800,11306085,51630578.337877534,0.5091905988602964,0.18977467084520117,1.9639011447545678,1.43068624914846,0.9314420563635657,0.4742815384834299,0.5091905988602964,0.5436702159438542,0.39982622604739965,0.03480747079478071
M-FU,2025,L5,121402857,22850708,102474706.6480634,0.5132074966864842,0.18575777301901333,1.9485296034381483,1.43068624914846,0.8440880979272457,0.43319233972009774,0.5132074966864842,0.5536219198848037,0.38253988659340743,0.049683671553060256
M-FU,2025,L9/L10 Nord,13465494,6110514,85915869.4933339,0.4692068576381623,0.2297584120673353,2.131256147946518,1.43068624914846,6.380446903272461,2.993749441811615,0.4692068576381623,0.1765772095881199,0.4441198221891697,0.014504119386291153
M-FU,2025,L9/L10 Sud,18997949,7868512,116840896.85665923,0.4737739834427495,0.22519128626274806,2.1107110878764392,1.43068624914846,6.150184783455268,2.913797543766586,0.4737739834427495,0.16719682775299208,0.43540895961389836,0.02047470647881018
